date,item_title,item_price,item_oldprice,item_site,item_link
03/24/20 14:00,Staples Mesh Back Fabric Task Chair (Black),$45.50,$60,Staples,www.slickdeals.net/f/13933979-staples-mesh-back-fabric-task-chair-black-45-50-free-shipping?src=frontpage
03/24/20 15:00,Kingdom Rush Vengeance (iOS or Android) or Zombie Night Terror (iOS),$1,$5,Apple iTunes,www.slickdeals.net/f/13935971-kingdom-rush-vengeance-ios-or-android-game-app-or-zombie-night-terrior-ios-game-app-0-99-via-apple-app-store-google-play?src=frontpage
03/24/20 15:00,Mint Mobile Customers: Unlimited 4G LTE Data,Free,,Mint Mobile,www.slickdeals.net/f/13918856-mint-mobile-customers-unlimited-4g-lte-data-free-valid-through-4-14-20?src=frontpage
03/24/20 15:00,Segway Kickscooter MAX Folding Electric Scooter + $100 Visa Gift Card,$699,$799,Wellbots,www.slickdeals.net/f/13932902-segway-kickscooter-max-folding-electric-scooter-free-100-visa-gift-card-699-fs?src=frontpage
03/24/20 16:00,Honeywell Sync Hearing Protector Wired Stereo Headphones w/ 25dB Noise Reduction,$17,$40,Northern Tool and Equipment,www.slickdeals.net/f/13934276-honeywell-stereo-hearing-protector-headphones-with-aux-cable-one-size-fits-most-9-99-6-99-shipping-at-northern-tool?src=frontpage
03/24/20 16:00,"SNK Pick & Mix (PCDD): Metal Slug, Samurai Showdown 2, Fatal Fury Special",5 for $3,,Fanatical,www.slickdeals.net/f/13936064-snk-pick-match-gog-edition-metal-slug-samurai-showdown-2-fatal-fury-special-art-of-fighting-2-more-pc-digital-download-5-for-2-99-or-1-for-1-via-fanatical?src=frontpage
03/24/20 16:00,3-Month WWE Network Streaming Service Trial (New Subscribers Only),Free,,Cricket Wireless,www.slickdeals.net/f/13932935-3-month-wwe-network-streaming-service-trial-new-subscribers-only-free-payment-method-req-d?src=frontpage
03/24/20 16:00,Mountain Hardwear: Men's Exposure/2 Gore-Tex Paclite Stretch Waterproof Pullover,$96,$137,Mountain Hardwear,www.slickdeals.net/f/13935152-mountain-hardwear-men-s-exposure-2-gore-tex-paclite-stretch-waterproof-pullover-95-89-women-s-frostzone-full-zip-jacket-43-39-more-free-s-h-w-elevated-rewards?src=frontpage
03/24/20 16:00,All-Clad Stainless Steel 7-Piece Cookware Set,$300,$630,Macy's,www.slickdeals.net/f/13928456-all-clad-stainless-steel-7-pc-cookware-set-299-99?src=frontpage
03/24/20 16:00,"Quiksilver: Extra 30% Off Sale Styles: Men''s T-Shirts from $7.70, Cargo Shorts",from $11.90,$55,Quiksilver,www.slickdeals.net/f/13936274-quiksilver-mens-cargo-11-89-many-others-13-29-free-ship-over-65-5-otherwise-quiksilver-sale-on-sale-event?src=frontpage
03/24/20 17:00,Reebok Women's Interrupted Sole Running Shoe or Women's Gazura Training Shoe,$27,$80,Reebok,www.slickdeals.net/f/13933529-reebok-women-s-interrupted-sole-running-shoe-27-women-s-gazura-training-shoe-27-more-free-shipping?src=frontpage
03/24/20 17:00,60-Day ComiXology Unlimited Digital Comics Trial,Free,,ComiXology,www.slickdeals.net/f/13935446-free-60-day-trial-of-comixology-unlimited-over-25-000-digital-comics-graphic-novels?src=frontpage
03/24/20 18:00,"Eluktronics MECH-17 G1Rx Gaming Laptop: i7-9750H, 512GB SSD, 16GB DDR4, RTX 2080",$1699,,Newegg,www.slickdeals.net/f/13929149-eluktronics-mech-17-g1rx-slim-light-nvidia-geforce-rtx-2080-gaming-laptop-free-gaming-mouse-rgb-mousepad-1699-shipped?src=frontpage
03/24/20 18:00,2.5-Oz Off! FamilyCare Insect Repellent (Smooth & Dry),$1.40,$5,Walgreens,www.slickdeals.net/f/13936961-2-5-oz-off-familycare-insect-repellent-smooth-dry-1-40-free-shipping?src=frontpage
03/24/20 18:00,"Klipsch Synergy Black Label F-300 Dual 8'" Woofers Floorstanding Speakers (Pair)",$299,$1098,Adorama,www.slickdeals.net/f/13934996-klipsch-f-300-dual-8-woofers-floorstanding-speakers-299-free-shipping?src=frontpage
03/24/20 18:00,"Old Navy Extra 50% Off: Men''s Moisture-Wicking Polos: Stripe or Print $7, Solid",$6,$20,Old Navy,www.slickdeals.net/f/13936103-old-navy-men-s-moisture-wicking-pro-polos-solid-6-stripe-or-all-over-print-7-fs-on-12-50?src=frontpage
03/24/20 19:00,"Select Amex MR Cardholders: Pay w/ Points, Get",20% Off,,Amazon,www.slickdeals.net/f/13937072-may-work-again-amazon-amex-membership-rewards-cardholders-pay-w-points-get-20-off-max-50-valid-for-select-accounts?src=frontpage
03/24/20 20:00,Harman Kardon SoundSticks Wireless Bluetooth 2.1 Channel Speaker System,$180,$270,Harman Kardon,www.slickdeals.net/f/13934987-harman-kardon-soundsticks-wireless-bluetooth-speaker-system-179-95-free-shipping?src=frontpage
03/24/20 20:00,Hamilton Men's Khaki Air Race Automatic Watch,$279,,Ashford,www.slickdeals.net/f/13935011-hamilton-air-race-automatic-watch-279-free-s-h?src=frontpage
03/24/20 20:00,Minn Kota Endura C2 55-lb Thrust Freshwater Transom Mount Trolling Motor,$171,$269,Walmart,www.slickdeals.net/f/13935131-minn-kota-endura-c2-55-freshwater-transom-mount-trolling-motor-55lb-thrust-with-36-quot-shaft-170-97-free-shipping?src=frontpage
03/24/20 21:00,Keds Women's Double Decker Slip On Sneakers (tan),$12,$65,DSW,www.slickdeals.net/f/13936814-fila-men-s-disruptor-sneakers-black-white-18-sperry-women-s-crest-slip-on-sneaker-various-18-tommy-hilfiger-men-s-mckenzie-4-sneakers-dark-brown-21-more-free-s-h?src=frontpage
03/24/20 21:00,James and the Giant Peach (Blu-ray + DVD),$5.40,,Walmart,www.slickdeals.net/f/13934702-james-and-the-giant-peach-blu-ray-dvd-combo-5-37-free-shipping-w-amazon-prime-amazon-or-free-shipping-on-35-orders-walmart?src=frontpage
03/24/20 21:00,Garmin Vivoactive 4 GPS Smartwatch + 3 Metal Bands + Bluetooth Earbuds,$300,$415,BuyDig,www.slickdeals.net/f/13935392-garmin-vivoactive-4-gps-smartwatch-3-metal-bands-bluetooth-earbuds-300-free-s-h?src=frontpage
03/24/20 21:00,Lands' End Men's Classic Squall Jacket (select sizes / colors),$14,$100,Walmart,www.slickdeals.net/f/13936997-lands-end-men-s-classic-squall-jacket-various-colors-14-free-shipping-on-35?src=frontpage
03/24/20 21:00,Mizuno Wave Rider 23 Men's or Women's Running Shoes,$72,$120,JackRabbit,www.slickdeals.net/f/13936592-mizuno-wave-rider-23-running-shoe-71-98-free-shipping?src=frontpage
03/24/20 21:00,"Digital 4K UHD Films: Batman: Assault on Arkham, The Death of Superman",$5 each,,Apple iTunes,www.slickdeals.net/f/13935884-4k-uhd-digital-film-batman-assault-on-arkham-the-death-of-superman-batman-gotham-by-gaslight-batman-and-harley-quinn-or-suicide-squad-hell-to-pay-4-99-each-via-apple-itunes?src=frontpage
03/24/20 22:00,Eureka Ergonomic Z1-S Gaming Desk w/ LED Lights,$150,,Newegg,www.slickdeals.net/f/13933664-eureka-ergonomic-z1-s-gaming-desk-black-149-99?src=frontpage
03/24/20 22:00,Nordstrom Rack: Additional Sitewide Savings,20% Off,,Nordstrom Rack,www.slickdeals.net/f/13921301-nordstrom-rack-additional-sitewide-savings-20-off-free-s-h?src=frontpage
03/24/20 22:00,Nintendo Switch Digital Games: Vasara Collection or 99Vidas Definitive Edition,$1 Each,$10,Nintendo,www.slickdeals.net/f/13937507-vasara-collection-nintendo-switch-digital-download-0-99-or-99vidas-definitive-edition-nintendo-switch-digital-download-0-99?src=frontpage
03/24/20 22:00,Anime: Digimon Adventure tri.: Future (Blu-ray + DVD),$6,$16,Best Buy,www.slickdeals.net/f/13931966-anime-digimon-adventure-tri-future-blu-ray-dvd-5-99-free-store-pickup-best-buy?src=frontpage
03/24/20 22:00,Overcomer (Digital HD Movie Rental),$1,,Amazon,www.slickdeals.net/f/13935965-overcomer-2019-digital-hd-movie-rental-0-99-via-amazon-vudu-itunes?src=frontpage
03/24/20 22:00,Seiko 5 Men's Automatic Watch on Bracelet,$70,$295,JomaShop,www.slickdeals.net/f/13937207-seiko-5-men-s-automatic-watch-on-bracelet-70-free-s-h?src=frontpage
03/24/20 23:00,StyleWell Coral Dusk to Dawn & 2 Ways Lumens Switch Automatic LED Night Light,$2,$5,Home Depot,www.slickdeals.net/f/13937489-stylewell-coral-dusk-to-dawn-2-ways-lumens-switch-automatic-integrated-led-night-light-1-97-at-home-depot?src=frontpage
03/24/20 23:00,Disney Board and Card Games: The Lion King Pumbaa Pass Game,$3.50,$9,Target,www.slickdeals.net/f/13935122-disney-games-the-lion-king-pumbaa-pass-game-3-48-frozen-2-frosted-fishing-board-game-5-62-frozen-2-olaf-s-ice-adventure-game-7-34-more-free-store-pickup-at-target?src=frontpage
03/24/20 23:00,Vanguard VEO 2 CM-264 Carbon Fiber Monopod,$50,$100,Adorama,www.slickdeals.net/f/13937273-vanguard-veo-2-cm-264-carbon-fiber-monopod-50-or-veo-2-235ab-5-section-aluminum-travel-tripod-with-ball-head-75-free-s-h?src=frontpage
03/24/20 23:00,Brooks Men's or Women's Adrenaline GTS 19 Running Shoes,$60,$130,DSW,www.slickdeals.net/f/13937462-brooks-men-s-or-women-s-adrenaline-gts-19-running-shoe-60-glycerin-17-running-shoe-72-more-free-shipping?src=frontpage
03/25/20 00:00,"Cole Haan Men''s Wingtip Oxford Shoes: Watson, Morris or Henry Grand",$42,$220,DSW,www.slickdeals.net/f/13937615-cole-haan-men-s-watson-wingtip-oxford-42-morris-wingtip-oxford-42-henry-grand-wingtip-oxford-42-pinch-roadtrip-boat-shoe-45-more-free-shipping?src=frontpage
03/25/20 00:00,"Nintendo Switch Digital Games: Dragon''s Dogma: Dark Arisen $20, Okami HD",$12,$20,Nintendo,www.slickdeals.net/f/13937522-nintendo-switch-digital-games-okami-hd-11-99-dragon-s-dogma-dark-arisen-19-99-mega-man-11-14-99-pinstripe-2-99-more?src=frontpage
03/25/20 00:00,Wendy’s: Get a Jr. Frosty with Every Drive-thru Order,Free,,Wendy's,www.slickdeals.net/f/13937120-wendy-s-free-jr-frosty-with-any-drive-thru-purchase?src=frontpage
03/25/20 01:00,The Council Episode 1: The Mad Ones (Xbox One or PS4 Digital Download),Free,,Microsoft Store,www.slickdeals.net/f/13936847-the-council-episode-1-the-mad-ones-xbox-one-or-ps4-digital-downloads-for-free-previously-6-99?src=frontpage
03/25/20 01:00,"HSS 4-Shelf Wire Shelving Rack (Chrome, 13.4'"x23.2'"x42'")",$29.50,$50,Walmart,www.slickdeals.net/f/13937471-hss-4-shelf-wire-shelving-rack-chrome-13-4-x23-2-x42-29-50-free-s-h-on-35?src=frontpage
03/25/20 04:00,"Minecraft DLC: Education Collection (PS4, Xbox One, Switch, PC, iOS or Android)",Free,,Minecraft Marketplace,www.slickdeals.net/f/13937849-minecraft-dlc-education-collection-ps4-xbox-one-switch-pc-ios-or-android-free?src=frontpage
03/25/20 04:00,Led Zeppelin: Led Zeppelin II (Vinyl),$12.90,$25,Target,www.slickdeals.net/f/13936730-led-zeppelin-ii-vinyl-12-89?src=frontpage
03/25/20 05:00,PowerA Enhanced Wireless Controller for Nintendo Switch (Poke Ball),$28.85,$38,Target,www.slickdeals.net/f/13937876-power-a-wireless-nintendo-switch-controller-28-86?src=frontpage
